SENTENCE;LAW
veya tehdit kullanılarak mağdurun , kendisini veya başkasını borç altına sokabilecek bir senedi veya var olan bir senedin hükümsüz kaldığını açıklayan bir vesikayı vermeye , böyle bir senedin alınmasına karşı koymamaya , ilerde böyle bir senet haline getirilebilecek bir kağıdı imzalamaya veya var olan bir senedi imha etmeye veya imhasına karşı koymamaya mecbur edilmesi halinde de aynı ceza verilir .;TÜRK CEZA KANUNU
herhangi bir vasıta ile kendisini bilmeyecek ve savunamayacak hale getirilmesi de , yağma suçunda cebir sayılır .;TÜRK CEZA KANUNU
"suçunun ; Silahla , Kişinin kendisini tanınmayacak bir hale koyması suretiyle , Birden fazla kişi tarafından birlikte , Yol kesmek suretiyle ya da konutta , işyerinde veya bunların eklentilerinde , Beden veya ruh bakımından kendisini savunamayacak durumda bulunan kişiye karşı , Var olan veya var sayılan suç örgütlerinin oluşturdukları korkutucu güçten yararlanılarak , Suç örgütüne yarar sağlamak maksadıyla , Gece vaktinde , İşlenmesi halinde , fail hakkında on yıldan onbeş yıla kadar hapis cezasına hükmolunur .";TÜRK CEZA KANUNU
suçunun işlenmesi sırasında kasten yaralama suçunun neticesi sebebiyle ağırlaşmış hallerinin gerçekleşmesi durumunda , ayrıca kasten yaralama suçuna ilişkin hükümler uygulanır .;TÜRK CEZA KANUNU
bir hukuki ilişkiye dayanan alacağını tahsil amacıyla tehdit veya cebir kullanması halinde , ancak tehdit veya kasten yaralama suçuna ilişkin hükümler uygulanır .;TÜRK CEZA KANUNU
suçunun konusunu oluşturan malın değerinin azlığı nedeniyle , verilecek ceza üçte birden yarıya kadar indirilebilir .;TÜRK CEZA KANUNU
taşınır veya taşınmaz malını kısmen veya tamamen yıkan , tahrip eden , yok eden , bozan , kullanılamaz hale getiren veya kirleten kişi , mağdurun şikayeti üzerine , dört aydan üç yıla kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
bir neden olmaksızın , sahipli hayvanı öldüren , işe yaramayacak hale getiren veya değerinin azalmasına neden olan kişi hakkında yukarıdaki fıkra hükmü uygulanır .;TÜRK CEZA KANUNU
"zarar verme suçunun ; Kamu kurum ve kuruluşlarına ait , kamu hizmetine tahsis edilmiş veya kamunun yararlanmasına ayrılmış yer , bina , tesis veya diğer eşya hakkında , Yangına , sel ve taşkına , kazaya ve diğer felaketlere karşı korunmaya tahsis edilmiş her türlü eşya veya tesis hakkında , Devlet ormanı statüsündeki yerler hariç , nerede olursa olsun , her türlü dikili ağaç , fidan veya bağ çubuğu hakkında , Sulamaya , içme sularının sağlanmasına veya afetlerden korumaya yarayan tesisler hakkında , Grev veya lokavt hallerinde işverenlerin veya işçilerin veya işveren veya işçi sendika veya konfederasyonlarının maliki olduğu veya kullanımında olan bina , tesis veya eşya hakkında , Siyasi partilerin , kamu kurumu niteliğindeki meslek kuruluşlarının ve üst kuruluşlarının maliki olduğu veya kullanımında olan bina , tesis veya eşya hakkında , Sona ermiş olsa bile , görevinden ötürü öç almak amacıyla bir kamu görevlisinin zararına olarak , İşlenmesi halinde , fail hakkında bir yıldan dört yıla kadar hapis cezasına hükmolunur .";TÜRK CEZA KANUNU
"zarar verme suçunun ; Yakarak , yakıcı veya patlayıcı madde kullanarak , Toprak kaymasına , çığ düşmesine , sel veya taşkına neden olmak suretiyle , Radyasyona maruz bırakarak , nükleer , biyolojik veya kimyasal silah kullanarak , İşlenmesi halinde , verilecek ceza bir katına kadar artırılır .";TÜRK CEZA KANUNU
zarar verme suçunun işlenmesi sonucunda haberleşme , enerji ya da demiryolu veya havayolu ulaşımı alanında kamu hizmetinin geçici de olsa aksaması halinde , yukarıdaki fıkralar hükümlerine göre verilecek ceza yarısından iki katına kadar artırılır .;TÜRK CEZA KANUNU
bunların eklentilerine , buralardaki eşyaya , mezarlara , bunların üzerindeki yapılara , mezarlıklardaki tesislere , mezarlıkların korunmasına yönelik olarak yapılan yapılara yıkmak , bozmak veya kırmak suretiyle zarar veren kişi , bir yıldan dört yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
fıkrada belirtilen yerleri ve yapıları kirleten kişi , üç aydan bir yıla kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
ve ikinci fıkralardaki fiillerin , ilgili dini inanışı benimseyen toplum kesimini tahkir maksadıyla işlenmesi halinde , verilecek ceza üçte biri oranında artırılır .;TÜRK CEZA KANUNU
hakka dayanmaksızın başkasına ait taşınmaz mal veya eklentilerini malikmiş gibi tamamen veya kısmen işgal eden veya sınırlarını değiştiren veya bozan veya hak sahibinin bunlardan kısmen de olsa yararlanmasına engel olan kimseye , suçtan zarar görenin şikayeti üzerine altı aydan üç yıla kadar hapis ve bin güne kadar adli para cezası verilir .;TÜRK CEZA KANUNU
tüzel kişiliğine ait olduğunu veya öteden beri köylünün ortak yararlanmasına terk edilmiş bulunduğunu bilerek mera , harman yeri , yol ve sulak gibi taşınmaz malları kısmen veya tamamen zapt eden , bunlar üzerinde tasarrufta bulunan veya sürüp eken kimse hakkında birinci fıkrada yazılı cezalar uygulanır .;TÜRK CEZA KANUNU
veya özel kişilere ait suların mecrasını değiştiren kimse hakkında birinci fıkrada yazılı cezalar uygulanır .;TÜRK CEZA KANUNU
ait olup da , muhafaza etmek veya belirli bir şekilde kullanmak üzere zilyedliği kendisine devredilmiş olan mal üzerinde , kendisinin veya başkasının yararına olarak , zilyedliğin devri amacı dışında tasarrufta bulunan veya bu devir olgusunu inkar eden kişi , şikayet üzerine , altı aydan iki yıla kadar hapis ve adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
meslek ve sanat , ticaret veya hizmet ilişkisinin ya da hangi nedenden doğmuş olursa olsun , başkasının mallarını idare etmek yetkisinin gereği olarak tevdi ve teslim edilmiş eşya hakkında işlenmesi halinde , bir yıldan yedi yıla kadar hapis ve üçbin güne kadar adli para cezasına hükmolunur .;TÜRK CEZA KANUNU
kalmış bir senedi kullanan kimseye , şikayet üzerine , altı aydan iki yıla kadar hapis ve adli para cezası verilir .;TÜRK CEZA KANUNU
davranışlarla bir kimseyi aldatıp , onun veya başkasının zararına olarak , kendisine veya başkasına bir yarar sağlayan kişiye bir yıldan beş yıla kadar hapis ve beşbin güne kadar adli para cezası verilir .;TÜRK CEZA KANUNU
"suçunun ; Dini inanç ve duyguların istismar edilmesi suretiyle , Kişinin içinde bulunduğu tehlikeli durum veya zor şartlardan yararlanmak suretiyle , Kişinin algılama yeteneğinin zayıflığından yararlanmak suretiyle , Kamu kurum ve kuruluşlarının , kamu meslek kuruluşlarının , siyasi parti , vakıf veya dernek tüzel kişiliklerinin araç olarak kullanılması suretiyle , Kamu kurum ve kuruluşlarının zararına olarak , Bilişim sistemlerinin , banka veya kredi kurumlarının araç olarak kullanılması suretiyle , Basın ve yayın araçlarının sağladığı kolaylıktan yararlanmak suretiyle , Tacir veya şirket yöneticisi olan ya da şirket adına hareket eden kişilerin ticari faaliyetleri sırasında ; kooperatif yöneticilerinin kooperatifin faaliyeti kapsamında , Serbest meslek sahibi kişiler tarafından , mesleklerinden dolayı kendilerine duyulan güvenin kötüye kullanılması suretiyle , Banka veya diğer kredi kurumlarınca tahsis edilmemesi gereken bir kredinin açılmasını sağlamak maksadıyla , Sigorta bedelini almak maksadıyla , Kişinin , kendisini kamu görevlisi veya banka , sigorta ya da kredi kurumlarının çalışanı olarak tanıtması veya bu kurum ve kuruluşlarla ilişkili olduğunu söylemesi suretiyle , İşlenmesi halinde , üç yıldan on yıla kadar hapis ve beşbin güne kadar adli para cezasına hükmolunur .";TÜRK CEZA KANUNU
, , , ve bentlerinde sayılan hallerde hapis cezasının alt sınırı dört yıldan , adli para cezasının miktarı suçtan elde edilen menfaatin iki katından az olamaz .;TÜRK CEZA KANUNU
görevlileriyle ilişkisinin olduğundan , onlar nezdinde hatırı sayıldığından bahisle ve belli bir işin gördürüleceği vaadiyle aldatarak , başkasından menfaat temin eden kişi , yukarıdaki fıkra hükmüne göre cezalandırılır .;TÜRK CEZA KANUNU
"madde ile 157 nci maddede yer alan suçların , üç veya daha fazla kişi tarafından birlikte işlenmesi halinde verilecek ceza yarı oranında ; suç işlemek için teşkil edilmiş bir örgütün faaliyeti çerçevesinde işlenmesi halinde verilecek ceza bir kat artırılır .";TÜRK CEZA KANUNU
bir hukuki ilişkiye dayanan alacağı tahsil amacıyla işlenmesi halinde , şikayet üzerine , altı aydan bir yıla kadar hapis veya adli para cezasına hükmolunur .;TÜRK CEZA KANUNU
olması nedeniyle malikinin zilyedliğinden çıkmış olan ya da hata sonucu ele geçirilen eşya üzerinde , iade etmeksizin veya yetkili mercileri durumdan haberdar etmeksizin , malik gibi tasarrufta bulunan kişi , şikayet üzerine , bir yıla kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
eksiltmeye yönelik hileli tasarruflarda bulunan kişi , bu hileli tasarruflardan önce veya sonra iflasa karar verilmiş olması halinde , üç yıldan sekiz yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
"iflasın varlığı için ; Alacaklıların alacaklarının teminatı mahiyetinde olan malların kaçırılması , gizlenmesi veya değerinin azalmasına neden olunması , Malvarlığını kaçırmaya yönelik tasarruflarının ortaya çıkmasını önlemek için ticari defter , kayıt veya belgelerin gizlenmesi veya yok edilmesi , Gerçekte bir alacak ve borç ilişkisi olmadığı halde , sanki böyle bir ilişki mevcutmuş gibi , borçların artmasına neden olacak şekilde belge düzenlenmesi , Gerçeğe aykırı muhasebe kayıtlarıyla veya sahte bilanço tanzimiyle aktifin olduğundan az gösterilmesi , Gerekir .";TÜRK CEZA KANUNU
olmanın gerekli kıldığı dikkat ve özenin gösterilmemesi dolayısıyla iflasa sebebiyet veren kişi , iflasa karar verilmiş olması halinde , iki aydan bir yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
aracılığı ile sunulan ve bedeli ödendiği takdirde yararlanılabilen bir hizmetten ödeme yapmadan yararlanan kişi , iki aydan altı aya kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
hatları ile frekanslarından veya elektromanyetik dalgalarla yapılan şifreli veya şifresiz yayınlardan sahibinin veya zilyedinin rızası olmadan yararlanan kişi , altı aydan iki yıla kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
esasına göre yararlanılabilen elektrik enerjisinin , suyun veya doğal gazın sahibinin rızası olmaksızın ve tüketim miktarının belirlenmesini engelleyecek şekilde tüketilmesi halinde kişi hakkında bir yıldan üç yıla kadar hapis cezasına hükmolunur .;TÜRK CEZA KANUNU
şirket veya kooperatifin kurucu , ortak , idareci , müdür veya temsilcileri veya yönetim veya denetim kurulu üyeleri veya tasfiye memuru sıfatını taşıyanlar , kamuya yaptıkları beyanlarda veya genel kurula sundukları raporlarda veya önerilerde ilgililerin zarara uğramasına neden olabilecek nitelikte gerçeğe aykırı önemli bilgiler verecek veya verdirtecek olurlarsa altı aydan üç yıla kadar hapis veya bin güne kadar adli para cezası ile cezalandırılırlar .;TÜRK CEZA KANUNU
suçun işlenmesiyle elde edilen eşyayı veya diğer malvarlığı değerini , bu suçun işlenmesine iştirak etmeksizin , satan , devreden , satın alan veya kabul eden kişi , altı aydan üç yıla kadar hapis ve onbin güne kadar adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
hukuki ilişkiye dayalı olarak elde ettiği eşyanın , esasında suç işlemek suretiyle veya suç işlemek dolayısıyla elde edildiğini öğrenmesine rağmen , suçu takibe yetkili makamlara vakit geçirmeksizin bildirimde bulunmayan kişi , altı aya kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
"ve nitelikli yağma hariç , bu bölümde yer alan suçların ; Haklarında ayrılık kararı verilmemiş eşlerden birinin , Üstsoy veya altsoyunun veya bu derecede kayın hısımlarından birinin veya evlat edinen veya evlatlığın , Aynı konutta beraber yaşayan kardeşlerden birinin , Zararına olarak işlenmesi halinde , ilgili akraba hakkında cezaya hükmolunmaz .";TÜRK CEZA KANUNU
"suçların , haklarında ayrılık kararı verilmiş olan eşlerden birinin , aynı konutta beraber yaşamayan kardeşlerden birinin , aynı konutta beraber yaşamakta olan amca , dayı , hala , teyze , yeğen veya ikinci derecede kayın hısımlarının zararına olarak işlenmesi halinde ; ilgili akraba hakkında şikayet üzerine verilecek ceza , yarısı oranında indirilir .";TÜRK CEZA KANUNU
mala zarar verme , güveni kötüye kullanma , dolandırıcılık , hileli iflas , taksirli iflas ‚Ä¶ suçları tamamlandıktan sonra ve fakat bu nedenle hakkında kovuşturma başlamadan önce , failin , azmettirenin veya yardım edenin bizzat pişmanlık göstererek mağdurun uğradığı zararı aynen geri verme veya tazmin suretiyle tamamen gidermesi halinde , verilecek cezanın üçte ikisine kadarı indirilir .;TÜRK CEZA KANUNU
pişmanlığın kovuşturma başladıktan sonra ve fakat hüküm verilmezden önce gösterilmesi halinde , verilecek cezanın yarısına kadarı indirilir .;TÜRK CEZA KANUNU
suçundan dolayı etkin pişmanlık gösteren kişiye verilecek cezanın , birinci fıkraya giren hallerde yarısına , ikinci fıkraya giren hallerde üçte birine kadarı indirilir .;TÜRK CEZA KANUNU
geri verme veya tazmin halinde etkin pişmanlık hükümlerinin uygulanabilmesi için , ayrıca mağdurun rızası aranır .;TÜRK CEZA KANUNU
"yararlanma suçunda , fail , azmettiren veya yardım edenin pişmanlık göstererek mağdurun , kamunun veya özel hukuk tüzel kişisinin uğradığı zararı , soruşturma tamamlanmadan önce tamamen tazmin etmesi halinde kamu davası açılmaz ; zararın hüküm verilinceye kadar tamamen tazmin edilmesi halinde ise , verilecek ceza üçte birine kadar indirilir .";TÜRK CEZA KANUNU
kişi , bu fıkra hükmünden iki defadan fazla yararlanamaz .;TÜRK CEZA KANUNU
güveni kötüye kullanma ve dolandırıcılık suçlarının işlenmesi suretiyle yararına haksız menfaat sağlanan tüzel kişiler hakkında bunlara özgü güvenlik tedbirlerine hükmolunur .;TÜRK CEZA KANUNU
"hayatı , sağlığı veya malvarlığı bakımından tehlikeli olacak biçimde ya da kişilerde korku , kaygı veya panik yaratabilecek tarzda ; Yangın çıkaran , Bina çökmesine , toprak kaymasına , çığ düşmesine , sel veya taşkına neden olan , Silahla ateş eden veya patlayıcı madde kullanan , Kişi , altı aydan üç yıla kadar hapis cezası ile cezalandırılır .";TÜRK CEZA KANUNU
bina çökmesi , toprak kayması , çığ düşmesi , sel veya taşkın tehlikesine neden olan kişi , üç aydan bir yıla kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
";Yangına , Bina çökmesine , toprak kaymasına , çığ düşmesine , sel veya taşkına , Neden olan kişi , fiilin başkalarının hayatı , sağlığı veya malvarlığı bakımından tehlikeli olması halinde , üç aydan bir yıla kadar hapis cezası ile cezalandırılır .";TÜRK CEZA KANUNU
başkasını , sağlığını bozmak amacıyla ve bu amacı gerçekleştirmeye elverişli olacak surette , radyasyona tabi tutan kişi , üç yıldan onbeş yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
fıkradaki fiilin belirsiz sayıda kişilere karşı işlenmiş olması halinde , beş yıldan az olmamak üzere hapis cezasına hükmolunur .;TÜRK CEZA KANUNU
başkasının hayatı , sağlığı veya malvarlığına önemli ölçüde zarar vermeye elverişli olacak biçimde radyasyon yayan veya atom çekirdeklerinin parçalanması sürecine etkide bulunan kişi , iki yıldan beş yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
yayılmasına veya atom çekirdeklerinin parçalanması sürecine , bir laboratuvar veya tesisin işletilmesi sırasında gerekli dikkat ve özen yükümlülüğüne aykırı olarak neden olan kişi , fiilin bir başkasının hayatı , sağlığı veya malvarlığına önemli ölçüde zarar vermeye elverişli olması halinde , altı aydan üç yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
enerjisini serbest bırakarak bir patlamaya ve bu suretle bir başkasının hayatı , sağlığı veya malvarlığı hakkında önemli ölçüde tehlikeye sebebiyet veren kişi , beş yıldan az olmamak üzere hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
fıkrada tanımlanan fiilin taksirle işlenmesi halinde , iki yıldan beş yıla kadar hapis cezasına hükmolunur .;TÜRK CEZA KANUNU
makamlardan gerekli izni almaksızın , patlayıcı , yakıcı , aşındırıcı , yaralayıcı , boğucu , zehirleyici , sürekli hastalığa yol açıcı nükleer , radyoaktif , kimyasal , biyolojik maddeyi imal , ithal veya ihraç eden , ülke içinde bir yerden diğer bir yere nakleden , muhafaza eden , satan , satın alan veya işleyen kişi , dört yıldan sekiz yıla kadar hapis ve beşbin güne kadar adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
makamların izni olmaksızın , bu fıkra kapsamına giren maddeleri imal etmek , işlemek veya kullanmak amacıyla , gerekli olan malzeme ve teçhizatı ithal eden , ihraç eden , satışa arz eden , başkalarına veren , nakleden , depolayan , satın alan , kabul eden veya bulunduran kişi de aynı ceza ile cezalandırılır .;TÜRK CEZA KANUNU
fiillerin suç işlemek için teşkil edilmiş bir örgütün faaliyeti çerçevesinde işlenmesi halinde , verilecek ceza bir kat artırılır .;TÜRK CEZA KANUNU
tür ve miktarda patlayıcı maddeyi satın alan , kabul eden veya bulunduran kişi hakkında , kullanılış amacı gözetilerek , bir yıla kadar hapis cezasına hükmolunur .;TÜRK CEZA KANUNU
Akıl hastası üzerindeki bakım ve gözetim yükümlülüğünü , başkalarının hayatı , sağlığı veya malvarlığı bakımından tehlikeli olabilecek şekilde ihmal eden kişi , altı aya kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
veya yıkım faaliyeti sırasında , insan hayatı veya beden bütünlüğü açısından gerekli olan tedbirleri almayan kişi , üç aydan bir yıla kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
altında bulunan hayvanı başkalarının hayatı veya sağlığı bakımından tehlikeli olabilecek şekilde serbest bırakan veya bunların kontrol altına alınmasında ihmal gösteren kişi , altı aya kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
gelip geçtiği yerlerde yapılmakta olan işlerden veya bırakılan eşyadan doğan tehlikeyi önlemek için gerekli işaret veya engelleri koymayan , konulmuş olan işaret veya engelleri kaldıran ya da bunların yerini değiştiren kişi , iki aydan altı aya kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
deniz , hava veya demiryolu ulaşımının güven içinde akışını sağlamak için konulmuş her türlü işareti değiştirerek , kullanılamaz hale getirerek , konuldukları yerden kaldırarak , yanlış işaretler vererek , geçiş , varış , kalkış veya iniş yolları üzerine bir şey koyarak ya da teknik işletim sistemine müdahale ederek , başkalarının hayatı , sağlığı veya malvarlığı bakımından bir tehlikeye neden olan kişiye bir yıldan altı yıla kadar hapis cezası verilir .;TÜRK CEZA KANUNU
deniz , hava veya demiryolu ulaşım araçlarını kişilerin hayat , sağlık veya malvarlığı açısından tehlikeli olabilecek şekilde sevk ve idare eden kişi , üç aydan iki yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
veya uyuşturucu madde etkisiyle ya da başka bir nedenle emniyetli bir şekilde araç sevk ve idare edemeyecek halde olmasına rağmen araç kullanan kişi yukarıdaki fıkra hükmüne göre cezalandırılır .;TÜRK CEZA KANUNU
hava veya demiryolu ulaşımında , kişilerin hayatı , sağlığı veya malvarlığı bakımından bir tehlikeye taksirle neden olan kimseye üç aydan üç yıla kadar hapis cezası verilir .;TÜRK CEZA KANUNU
kanunlarla belirlenen teknik usullere aykırı olarak ve çevreye zarar verecek şekilde , atık veya artıkları toprağa , suya veya havaya kasten veren kişi , altı aydan iki yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
Atık veya artıkları izinsiz olarak ülkeye sokan kişi , bir yıldan üç yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
veya artıkların toprakta , suda veya havada kalıcı özellik göstermesi halinde , yukarıdaki fıkralara göre verilecek ceza iki katı kadar artırılır .;TÜRK CEZA KANUNU
ve ikinci fıkralarda tanımlanan fiillerin , insan veya hayvanlar açısından tedavisi zor hastalıkların ortaya çıkmasına , üreme yeteneğinin körelmesine , hayvanların veya bitkilerin doğal özelliklerini değiştirmeye neden olabilecek niteliklere sahip olan atık veya artıklarla ilgili olarak işlenmesi halinde , beş yıldan az olmamak üzere hapis cezasına ve bin güne kadar adli para cezasına hükmolunur .;TÜRK CEZA KANUNU
maddenin iki , üç ve dördüncü fıkrasındaki fiillerden dolayı tüzel kişiler hakkında bunlara özgü güvenlik tedbirlerine hükmolunur .;TÜRK CEZA KANUNU
zarar verecek şekilde , atık veya artıkların toprağa , suya veya havaya verilmesine taksirle neden olan kişi , adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
atık veya artıkların , toprakta , suda veya havada kalıcı etki bırakması halinde , iki aydan bir yıla kadar hapis cezasına hükmolunur .;TÜRK CEZA KANUNU
veya hayvanlar açısından tedavisi zor hastalıkların ortaya çıkmasına , üreme yeteneğinin körelmesine , hayvanların veya bitkilerin doğal özelliklerini değiştirmeye neden olabilecek niteliklere sahip olan atık veya artıkların toprağa , suya veya havaya taksirle verilmesine neden olan kişi , bir yıldan beş yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
kanunlarla belirlenen yükümlülüklere aykırı olarak , başka bir kimsenin sağlığının zarar görmesine elverişli bir şekilde gürültüye neden olan kişi , iki aydan iki yıla kadar hapis veya adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
ruhsatiyesi alınmadan veya ruhsata aykırı olarak bina yapan veya yaptıran kişi , bir yıldan beş yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
ruhsatiyesi olmadan başlatılan inşaatlar dolayısıyla kurulan şantiyelere elektrik , su veya telefon bağlantısı yapılmasına müsaade eden kişi , yukarıdaki fıkra hükmüne göre cezalandırılır .;TÜRK CEZA KANUNU
kullanma izni alınmamış binalarda herhangi bir sınai faaliyetin icrasına müsaade eden kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
fıkra hariç , bu madde hükümleri ancak belediye sınırları içinde veya özel imar rejimine tabi yerlerde uygulanır .;TÜRK CEZA KANUNU
ruhsatsız ya da ruhsata aykırı olarak yaptığı veya yaptırdığı binayı imar planına ve ruhsatına uygun hale getirmesi halinde , bir ve ikinci fıkra hükümleri gereğince kamu davası açılmaz , açılmış olan kamu davası düşer , mahkum olunan ceza bütün sonuçlarıyla ortadan kalkar .;TÜRK CEZA KANUNU
ve üçüncü fıkra hükümleri , 12 Ekim 2004 tarihinden önce yapılmış yapılarla ilgili olarak uygulanmaz .;TÜRK CEZA KANUNU
sulara veya yenilecek veya içilecek veya kullanılacak veya tüketilecek her çeşit besin veya şeylere zehir katarak veya başka suretlerle bunları bozarak kişilerin hayatını ve sağlığını tehlikeye düşüren kimseye iki yıldan onbeş yıla kadar hapis cezası verilir .;TÜRK CEZA KANUNU
fıkrada belirtilen fiillerin dikkat ve özen yükümlülüğüne aykırı olarak işlenmesi halinde , üç aydan bir yıla kadar hapis cezasına hükmolunur .;TÜRK CEZA KANUNU
hayatını ve sağlığını tehlikeye sokacak biçimde bozulmuş , değiştirilmiş her tür yenilecek veya içilecek şeyleri veya ilaçları satan , tedarik eden , bulunduran kimseye bir yıldan beş yıla kadar hapis ve binbeşyüz güne kadar adli para cezası verilir .;TÜRK CEZA KANUNU
suçun , resmi izne dayalı olarak yürütülen bir meslek ve sanatın icrası kapsamında işlenmesi halinde , verilecek ceza üçte bir oranında artırılır .;TÜRK CEZA KANUNU
hayatını ve sağlığını tehlikeye sokacak biçimde ilaç üreten veya satan kimseye bir yıldan beş yıla kadar hapis ve adli para cezası verilir .;TÜRK CEZA KANUNU
suçun tabip veya eczacı tarafından ya da resmi izne dayalı olarak yürütülen bir meslek ve sanatın icrası kapsamında işlenmesi halinde , verilecek ceza üçte bir oranında artırılır .;TÜRK CEZA KANUNU
veya uyarıcı maddeleri ruhsatsız veya ruhsata aykırı olarak imal , ithal veya ihraç eden kişi , yirmi yıldan otuz yıla kadar hapis ve ikibin günden yirmibin güne kadar adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
veya uyarıcı madde ihracı fiilinin diğer ülke açısından ithal olarak nitelendirilmesi dolayısıyla bu ülkede yapılan yargılama sonucunda hükmolunan cezanın infaz edilen kısmı , Türkiye'de uyuşturucu veya uyarıcı madde ihracı dolayısıyla yapılacak yargılama sonucunda hükmolunan cezadan mahsup edilir .;TÜRK CEZA KANUNU
veya uyarıcı maddeleri ruhsatsız veya ruhsata aykırı olarak ülke içinde satan , satışa arz eden , başkalarına veren , sevk eden , nakleden , depolayan , satın alan , kabul eden , bulunduran kişi , on yıldan az olmamak üzere hapis ve bin günden yirmibin güne kadar adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
uyuşturucu veya uyarıcı madde verilen veya satılan kişinin çocuk olması halinde , veren veya satan kişiye verilecek hapis cezası on beş yıldan az olamaz .;TÜRK CEZA KANUNU
"fıkralarda belirtilen uyuşturucu veya uyarıcı maddelerin eroin , kokain , morfin , sentetik kannabinoid ve türevleri veya bazmorfin olması , Üçüncü fıkradaki fiillerin ; okul , yurt , hastane , kışla veya ibadethane gibi tedavi , eğitim , askeri ve sosyal amaçla toplu bulunulan bina ve tesisler ile bunların varsa çevre duvarı , tel örgü veya benzeri engel veya işaretlerle belirlenen sınırlarına iki yüz metreden yakın mesafe içindeki umumi veya umuma açık yerlerde işlenmesi , halinde verilecek ceza yarı oranında artırılır .";TÜRK CEZA KANUNU
fıkralarda gösterilen suçların , üç veya daha fazla kişi tarafından birlikte işlenmesi halinde verilecek ceza yarı oranında , suç işlemek için teşkil edilmiş bir örgütün faaliyeti çerçevesinde işlenmesi halinde , verilecek ceza bir kat artırılır .;TÜRK CEZA KANUNU
resmi makamların iznine veya satışı yetkili tabip tarafından düzenlenen reçeteye bağlı olan ve uyuşturucu veya uyarıcı madde etkisi doğuran her türlü madde açısından da yukarıdaki fıkralar hükümleri uygulanır .;TÜRK CEZA KANUNU
verilecek ceza yarısına kadar indirilebilir .;TÜRK CEZA KANUNU
veya uyarıcı etki doğurmamakla birlikte , uyuşturucu veya uyarıcı madde üretiminde kullanılan ve ithal veya imali resmi makamların iznine bağlı olan maddeyi ülkeye ithal eden , imal eden , satan , satın alan , sevk eden , nakleden , depolayan veya ihraç eden kişi , sekiz yıldan az olmamak üzere hapis ve bin günden yirmibin güne kadar adli para cezası ile cezalandırılır .;TÜRK CEZA KANUNU
maddede tanımlanan suçların tabip , diş tabibi , eczacı , kimyager , veteriner , sağlık memuru , laborant , ebe , hemşire , diş teknisyeni , hastabakıcı , sağlık hizmeti veren , kimyacılıkla veya ecza ticareti ile iştigal eden kişi tarafından işlenmesi halinde , verilecek ceza yarı oranında artırılır .;TÜRK CEZA KANUNU
veya uyarıcı madde imal ve ticareti suçlarının bir tüzel kişinin faaliyeti çerçevesinde işlenmesi halinde , tüzel kişi hakkında bunlara özgü güvenlik tedbirlerine hükmolunur .;TÜRK CEZA KANUNU
"veya uyarıcı madde kullanılmasını kolaylaştırmak için ; özel yer , donanım veya malzeme sağlayan , Kullananların yakalanmalarını zorlaştıracak önlemler alan , Kullanma yöntemleri konusunda başkalarına bilgi veren , Kişi , beş yıldan on yıla kadar hapis ve bin günden onbin güne kadar adli para cezası ile cezalandırılır .";TÜRK CEZA KANUNU
veya uyarıcı madde kullanılmasını alenen özendiren veya bu nitelikte yayın yapan kişi , beş yıldan on yıla kadar hapis bin günden onbin güne kadar adlipara cezası ile cezalandırılır .;TÜRK CEZA KANUNU
